SmellDetectionQualityEvaluation.QualityEvaluator	private void performEvaluation(HashMap<java.lang.String,ArrayList<java.lang.String>>, HashMap<java.lang.String,ArrayList<java.lang.String>>) 	evaluation	B2	0/23
RuleEditor.RulesManager	private void setUpMainPane() 	addNewRuleButton	B1	0/13
SmellDetectionQualityEvaluation.QualityEvaluatorApp	public javafx.scene.layout.VBox initializeMainPane(RuleEditor.RulesManager) 	consoleOutputs	B1	0/12
SmellDetectionQualityEvaluation.QualityEvaluatorApp	public javafx.scene.layout.VBox initializeMainPane(RuleEditor.RulesManager) 	detectionButton	B1	0/12
SmellDetectionQualityEvaluation.QualityEvaluatorApp	public javafx.scene.layout.VBox initializeMainPane(RuleEditor.RulesManager) 	progressBar	B1	0/12
SmellDetectionQualityEvaluation.QualityEvaluatorApp	public javafx.scene.layout.VBox initializeMainPane(RuleEditor.RulesManager) 	rulesManager	B1	0/12
SmellDetectionQualityEvaluation.QualityEvaluatorApp	public javafx.scene.layout.VBox initializeMainPane(RuleEditor.RulesManager) 	rulesManager	B1	0/12
MetricExtraction.MetricExtractor	private void exportResultsToFile() 	metricName	B1	0/10
RuleEditor.RulesManager	private void setUpMainPane() 	numberOfRules	B1	0/6
RuleEditor.RulesManager	private void setUpMainPane() 	rules	B1	0/6
g1.ISCTE.AppStyle	public static void removeFadingOut(javafx.scene.Node, javafx.scene.layout.Pane) 	transition	B2	0/6
g1.ISCTE.AppStyle	public static transient void addFadingInGroup(double, double, javafx.scene.Node[]) 	fadeTransition	B3	0/6
g1.ISCTE.AppStyle	public static void addFadingInGroup(double, double, ArrayList<javafx.scene.control.Label>, javafx.scene.layout.VBox, javafx.scene.control.ProgressBar) 	fadeTransition	B4	0/6
RuleEditor.FinalMain	private void configureMainPane(javafx.stage.Stage) 	firstLabel	B1	0/5
RuleEditor.FinalMain	public sealed void start(javafx.stage.Stage) 	primaryStage	B1	0/5
RuleEditor.FinalMain	public sealed void start(javafx.stage.Stage) 	splitPane	B1	0/5
RuleEditor.FinalMain	public sealed void start(javafx.stage.Stage) 	stage	B1	0/5
RuleEditor.LogicBlock	private javafx.scene.layout.VBox getHBox() 	andLabelVBox	B1	0/5
RuleEditor.RulesManager	public sealed void start(javafx.stage.Stage) 	mainPane	B1	0/5
RuleEditor.RulesManager	public sealed void start(javafx.stage.Stage) 	ruleFileManager	B1	0/5
RuleEditor.RulesManager	public sealed void start(javafx.stage.Stage) 	rules	B1	0/5
g1.ISCTE.AppStyle	public static void addFadingIn(javafx.scene.Node, javafx.scene.layout.Pane) 	transition	B1	0/5
g1.ISCTE.AppStyle	public static void customFadingIn(javafx.scene.Node, javafx.scene.layout.VBox, int) 	transition	B1	0/5
CodeSmellDetection.RuleApplier	private void removeColumn(int) 	currentRow	B2	0/5
CodeSmellDetection.RuleApplier	private void removeColumn(int) 	currentRow	B3	0/4
g1.ISCTE.ProjectInfo	public ArrayList<ArrayList<java.lang.String>> getMetricsTable() 	line	B3	0/5
g1.ISCTE.ProjectInfo	public ArrayList<ArrayList<java.lang.String>> getMetricsTable() 	line	B4	0/4
g1.ISCTE.ProjectInfo	public ArrayList<ArrayList<java.lang.String>> getMetricsTable() 	line	B5	0/3
CodeSmellDetection.DetectionWorker	private void detect(java.lang.Object) 	listToAddTo	B4	0/4
CodeSmellDetection.DetectionWorker	private void detect(java.lang.Object) 	results	B4	0/4
MetricExtraction.MethodVisitor	public sealed void visit(com.github.javaparser.ast.body.MethodDeclaration, java.lang.Object) 	method	B1	0/4
MetricExtraction.MetricExtractor	private void getFilesFromProjectDirectory(java.io.File) 	file	B2	0/4
MetricExtraction.MetricExtractor	private void getFilesFromProjectDirectory(java.io.File) 	source_code	B2	0/4
RuleEditor.RuleFileManager	public org.json.simple.JSONObject guiToJSONObject(ArrayList<RuleEditor.CustomNode>, java.lang.String, boolean) 	outerName	B1	0/4
RuleEditor.RulesManager	private void setUpMainPane() 	saveAndLoadButtons	B1	0/4
g1.ISCTE.NewGUI	private javafx.scene.layout.VBox getButtonsLeft() 	rulesEditor	B1	0/4
g1.ISCTE.NewGUI	private javafx.scene.layout.VBox getButtonsLeft() 	showMetrics	B1	0/4
g1.ISCTE.NewGUI	private void updateCenterPane() throws java.io.IOException	table	B1	0/4
g1.ISCTE.NewGUI	private void loadMethod(ArrayList<ArrayList<java.lang.String>>, java.lang.String[]) 	cols	B1	0/4
g1.ISCTE.NewGUI	private void loadMethod(ArrayList<ArrayList<java.lang.String>>, java.lang.String[]) 	cols	B7	0/3
g1.ISCTE.NewGUI	private void loadMethod(ArrayList<ArrayList<java.lang.String>>, java.lang.String[]) 	cols	B8	0/2
